County,Candidate,Candidate_Party,Election_day_votes,Early_voting,Absentee_by_mail,Provisional_votes,Total_votes,Election_Year
AVERY,Write-In (Miscellaneous),NA,1,0,0,0,1,2016
AVERY,Write-In (Miscellaneous),NA,12,0,0,0,12,2016
AVERY,Write-In (Miscellaneous),NA,1,0,0,0,1,2016
AVERY,Write-In (Miscellaneous),NA,1,0,0,0,1,2016
AVERY,Write-In (Miscellaneous),NA,1,0,0,0,1,2016
AVERY,Write-In (Miscellaneous),NA,1,0,0,0,1,2016
AVERY,Write-In (Miscellaneous),NA,3,0,0,0,3,2016
AVERY,Write-In (Miscellaneous),NA,0,0,0,0,0,2016
AVERY,Write-In (Miscellaneous),NA,0,21,0,0,21,2016
AVERY,Write-In (Miscellaneous),NA,5,0,0,0,5,2016
CABARRUS,Donald J. Trump,REP,303,0,0,0,303,2016
CABARRUS,Donald J. Trump,REP,472,0,0,0,472,2016
CABARRUS,Donald J. Trump,REP,533,0,0,0,533,2016
CABARRUS,Donald J. Trump,REP,677,0,0,0,677,2016
CABARRUS,Donald J. Trump,REP,651,0,0,0,651,2016
CABARRUS,Donald J. Trump,REP,471,0,0,0,471,2016
CABARRUS,Donald J. Trump,REP,517,0,0,0,517,2016
CABARRUS,Donald J. Trump,REP,313,0,0,0,313,2016
CABARRUS,Donald J. Trump,REP,351,0,0,0,351,2016
CABARRUS,Donald J. Trump,REP,1180,0,0,0,1180,2016
CABARRUS,Donald J. Trump,REP,944,0,0,0,944,2016
CABARRUS,Donald J. Trump,REP,0,4462,0,0,4462,2016
CABARRUS,Donald J. Trump,REP,783,0,0,0,783,2016
CABARRUS,Donald J. Trump,REP,214,0,0,0,214,2016
CABARRUS,Donald J. Trump,REP,1709,0,0,0,1709,2016
CABARRUS,Donald J. Trump,REP,219,0,0,0,219,2016
CABARRUS,Donald J. Trump,REP,36,0,0,0,36,2016
CABARRUS,Donald J. Trump,REP,379,0,0,0,379,2016
CABARRUS,Donald J. Trump,REP,0,6075,0,0,6075,2016
CABARRUS,Donald J. Trump,REP,366,0,0,0,366,2016
CABARRUS,Donald J. Trump,REP,274,0,0,0,274,2016
CABARRUS,Donald J. Trump,REP,290,0,0,0,290,2016
CABARRUS,Donald J. Trump,REP,479,0,0,0,479,2016
CABARRUS,Donald J. Trump,REP,455,0,0,0,455,2016
CABARRUS,Donald J. Trump,REP,0,10739,0,0,10739,2016
CABARRUS,Donald J. Trump,REP,667,0,0,0,667,2016
CABARRUS,Donald J. Trump,REP,733,0,0,0,733,2016
CABARRUS,Donald J. Trump,REP,758,0,0,0,758,2016
CABARRUS,Donald J. Trump,REP,513,0,0,0,513,2016
CABARRUS,Donald J. Trump,REP,456,0,0,0,456,2016
CABARRUS,Donald J. Trump,REP,280,0,0,0,280,2016
CABARRUS,Donald J. Trump,REP,0,4906,0,0,4906,2016
CABARRUS,Donald J. Trump,REP,193,0,0,0,193,2016
CABARRUS,Donald J. Trump,REP,493,0,0,0,493,2016
CABARRUS,Donald J. Trump,REP,512,0,0,0,512,2016
CABARRUS,Donald J. Trump,REP,500,0,0,0,500,2016
CABARRUS,Donald J. Trump,REP,232,0,0,0,232,2016
CABARRUS,Donald J. Trump,REP,469,0,0,0,469,2016
CABARRUS,Donald J. Trump,REP,895,0,0,0,895,2016
CABARRUS,Donald J. Trump,REP,938,0,0,0,938,2016
CABARRUS,Donald J. Trump,REP,0,0,0,528,528,2016
CABARRUS,Donald J. Trump,REP,474,0,0,0,474,2016
CABARRUS,Donald J. Trump,REP,800,0,0,0,800,2016
CABARRUS,Donald J. Trump,REP,325,0,0,0,325,2016
CABARRUS,Donald J. Trump,REP,760,0,0,0,760,2016
CABARRUS,Donald J. Trump,REP,989,0,0,0,989,2016
CABARRUS,Donald J. Trump,REP,0,0,2557,0,2557,2016
CABARRUS,Donald J. Trump,REP,295,0,0,0,295,2016
CABARRUS,Donald J. Trump,REP,0,0,0,0,0,2016
CABARRUS,Donald J. Trump,REP,647,0,0,0,647,2016
CABARRUS,Donald J. Trump,REP,189,0,0,0,189,2016
CABARRUS,Donald J. Trump,REP,97,0,0,0,97,2016
CABARRUS,Donald J. Trump,REP,721,0,0,0,721,2016
CABARRUS,Gary Johnson,LIB,18,0,0,0,18,2016
CABARRUS,Gary Johnson,LIB,36,0,0,0,36,2016
CABARRUS,Gary Johnson,LIB,34,0,0,0,34,2016
CABARRUS,Gary Johnson,LIB,0,0,154,0,154,2016
CABARRUS,Gary Johnson,LIB,15,0,0,0,15,2016
CABARRUS,Gary Johnson,LIB,13,0,0,0,13,2016
CABARRUS,Gary Johnson,LIB,42,0,0,0,42,2016
CABARRUS,Gary Johnson,LIB,69,0,0,0,69,2016
CABARRUS,Gary Johnson,LIB,34,0,0,0,34,2016
CABARRUS,Gary Johnson,LIB,24,0,0,0,24,2016
CABARRUS,Gary Johnson,LIB,12,0,0,0,12,2016
CABARRUS,Gary Johnson,LIB,20,0,0,0,20,2016
CABARRUS,Gary Johnson,LIB,0,0,0,0,0,2016
CABARRUS,Gary Johnson,LIB,66,0,0,0,66,2016
CABARRUS,Gary Johnson,LIB,16,0,0,0,16,2016
CABARRUS,Gary Johnson,LIB,76,0,0,0,76,2016
CABARRUS,Gary Johnson,LIB,0,186,0,0,186,2016
CABARRUS,Gary Johnson,LIB,20,0,0,0,20,2016
CABARRUS,Gary Johnson,LIB,6,0,0,0,6,2016
CABARRUS,Gary Johnson,LIB,37,0,0,0,37,2016
CABARRUS,Gary Johnson,LIB,31,0,0,0,31,2016
CABARRUS,Gary Johnson,LIB,21,0,0,0,21,2016
CABARRUS,Gary Johnson,LIB,22,0,0,0,22,2016
CABARRUS,Gary Johnson,LIB,49,0,0,0,49,2016
CABARRUS,Gary Johnson,LIB,15,0,0,0,15,2016
CABARRUS,Gary Johnson,LIB,23,0,0,0,23,2016
CABARRUS,Gary Johnson,LIB,33,0,0,0,33,2016
CABARRUS,Gary Johnson,LIB,26,0,0,0,26,2016
CABARRUS,Gary Johnson,LIB,24,0,0,0,24,2016
CABARRUS,Gary Johnson,LIB,32,0,0,0,32,2016
CABARRUS,Gary Johnson,LIB,58,0,0,0,58,2016
CABARRUS,Gary Johnson,LIB,54,0,0,0,54,2016
CABARRUS,Gary Johnson,LIB,38,0,0,0,38,2016
CABARRUS,Gary Johnson,LIB,54,0,0,0,54,2016
CABARRUS,Gary Johnson,LIB,67,0,0,0,67,2016
CABARRUS,Gary Johnson,LIB,14,0,0,0,14,2016
CABARRUS,Gary Johnson,LIB,23,0,0,0,23,2016
